q_bits,n,m,rho,mode,N,Q_bits,rate,entropy_target,delta_entropy,volume_grid_t,delta_volume_grid
128,65536,8,0.5,interleaved,65536,1024,0.5,0.5,0.4990234401872159,32704,0.4990234375
128,65536,8,0.25,folded,8192,1024,0.25,0.75,0.7492065103953666,6137,0.7491455078125
128,65536,8,0.25,interleaved,65536,1024,0.25,0.75,0.7492065103953666,49100,0.74920654296875
128,65536,8,0.125,folded,8192,1024,0.125,0.875,0.874467717888966,7163,0.8743896484375
128,65536,8,0.125,interleaved,65536,1024,0.125,0.875,0.874467717888966,57309,0.8744659423828125
128,65536,8,0.0625,folded,8192,1024,0.0625,0.9375,0.9371693549639705,7677,0.9371337890625
128,65536,8,0.0625,interleaved,65536,1024,0.0625,0.9375,0.9371693549639705,61418,0.937164306640625
128,1048576,1,0.5,folded,1048576,128,0.5,0.5,0.492188875432744,516097,0.4921884536743164
128,1048576,1,0.5,interleaved,1048576,128,0.5,0.5,0.492188875432744,516097,0.4921884536743164
128,1048576,1,0.25,folded,1048576,128,0.25,0.75,0.7435836697551828,779704,0.7435836791992188
128,1048576,1,0.25,interleaved,1048576,128,0.25,0.75,0.7435836697551828,779704,0.7435836791992188
128,1048576,1,0.125,folded,1048576,128,0.125,0.875,0.8706591588736786,912952,0.8706588745117188
128,1048576,1,0.125,interleaved,1048576,128,0.125,0.875,0.8706591588736786,912952,0.8706588745117188
128,1048576,1,0.0625,folded,1048576,128,0.0625,0.9375,0.934782682580009,980190,0.9347820281982422
128,1048576,1,0.0625,interleaved,1048576,128,0.0625,0.9375,0.934782682580009,980190,0.9347820281982422
128,1048576,2,0.5,folded,524288,256,0.5,0.5,0.49609392196925767,260096,0.49609375
128,1048576,2,0.5,interleaved,1048576,256,0.5,0.5,0.49609392196925767,520192,0.49609375
128,1048576,2,0.25,folded,524288,256,0.25,0.75,0.7468113554670807,391544,0.7468109130859375
128,1048576,2,0.25,interleaved,1048576,256,0.25,0.75,0.7468113554670807,783088,0.7468109130859375
128,1048576,2,0.125,folded,524288,256,0.125,0.875,0.8728532780936253,457626,0.8728523254394531
128,1048576,2,0.125,interleaved,1048576,256,0.125,0.875,0.8728532780936253,915253,0.8728532791137695
128,1048576,2,0.0625,folded,524288,256,0.0625,0.9375,0.9361621285399337,490818,0.9361610412597656
128,1048576,2,0.0625,interleaved,1048576,256,0.0625,0.9375,0.9361621285399337,981637,0.936161994934082
128,1048576,4,0.5,folded,262144,512,0.5,0.5,0.4980468964974128,130560,0.498046875
128,1048576,4,0.5,interleaved,1048576,512,0.5,0.5,0.4980468964974128,522240,0.498046875
128,1048576,4,0.25,folded,262144,512,0.25,0.75,0.7484105710853916,196191,0.7484092712402344
128,1048576,4,0.25,interleaved,1048576,512,0.25,0.75,0.7484105710853916,784765,0.7484102249145508
