q_bits,n,k,rho,mode,m,ell,s,coset_count,cosets_chosen,radius,log2_list_lower_bound,log2_budget,log2_margin,beats_budget,delta_entropy,delta_volume_grid,capacity_gap,below_capacity
256.0,1048576,131072,0.125,folded,1,262144,262144,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.8728537601643543,0.8728532791137695,0.12285376016435434,True
192.0,1024,64,0.0625,folded,1,512,512,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.9360392129149483,0.935546875,0.4360392129149483,True
192.0,1024,128,0.125,folded,1,512,512,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8724575012944624,0.8720703125,0.3724575012944624,True
192.0,1024,256,0.25,folded,1,512,512,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.746067963647786,0.74609375,0.24606796364778605,True
192.0,4096,256,0.0625,folded,1,2048,2048,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.935790052338976,0.935791015625,0.43579005233897605,True
192.0,4096,512,0.125,folded,1,2048,2048,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8722097835977269,0.8720703125,0.37220978359772694,True
192.0,4096,1024,0.25,folded,1,2048,2048,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.7458218309792201,0.74560546875,0.24582183097922006,True
192.0,65536,4096,0.0625,folded,1,32768,32768,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.9357121912851286,0.935699462890625,0.4357121912851286,True
192.0,65536,8192,0.125,folded,1,32768,32768,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8721323726786177,0.87213134765625,0.37213237267861765,True
192.0,65536,16384,0.25,folded,1,32768,32768,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.745744915016825,0.7457427978515625,0.24574491501682505,True
192.0,1048576,65536,0.0625,folded,1,524288,524288,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.9357073249949318,0.9357070922851562,0.4357073249949318,True
192.0,1048576,131072,0.125,folded,1,524288,524288,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8721275345097782,0.8721275329589844,0.3721275345097782,True
192.0,1048576,262144,0.25,folded,1,524288,524288,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.7457401077770237,0.7457399368286133,0.2457401077770237,True
256.0,1024,64,0.0625,folded,1,512,512,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.9366579247292806,0.9365234375,0.43665792472928056,True
256.0,1024,128,0.125,folded,1,512,512,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.8733469247760021,0.873046875,0.37334692477600206,True
256.0,1024,256,0.25,folded,1,512,512,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7473026350697548,0.7470703125,0.2473026350697548,True
256.0,4096,256,0.0625,folded,1,2048,2048,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.9362860753740551,0.936279296875,0.43628607537405506,True
256.0,4096,512,0.125,folded,1,2048,2048,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.8729766885897646,0.872802734375,0.3729766885897646,True
256.0,4096,1024,0.25,folded,1,2048,2048,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7469341746888621,0.746826171875,0.24693417468886214,True
256.0,65536,4096,0.0625,folded,1,32768,32768,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.9361698751739443,0.9361572265625,0.43616987517394434,True
256.0,65536,8192,0.125,folded,1,32768,32768,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.872860991226721,0.8728485107421875,0.372860991226721,True
256.0,65536,16384,0.25,folded,1,32768,32768,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7468190316551883,0.7468109130859375,0.24681903165518826,True
256.0,1048576,65536,0.0625,folded,1,524288,524288,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.936162612704391,0.936161994934082,0.43616261270439105,True
256.0,1048576,131072,0.125,folded,1,524288,524288,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.8728537601643543,0.8728532791137695,0.37285376016435434,True
256.0,1048576,262144,0.25,folded,1,524288,524288,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7468118352287857,0.7468118667602539,0.2468118352287857,True
128.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9345703125,0.934782682580009,True
128.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.8701171875,0.8706591588736786,True
128.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.7431640625,0.7435836697551828,True
128.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921875,0.492188875432744,True
128.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9345703125,0.934782682580009,True
128.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.87060546875,0.8706591588736786,True
128.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.743408203125,0.7435836697551828,True
128.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921875,0.492188875432744,True
