p,n,k,rho,m,mode,N,search_alphabet_size,ambient_alphabet_size,code_size,radius,max_list,num_centers,johnson_radius,volume_grid,capacity_entropy,best_center,status
7,6,1,0.16666666666666666,2,interleaved,6,49,49,49,,,,0.591751709536137,0.8333333333333334,0.7881567934501976,,"refused: received-word space has 13841287201 words, exceeding max_words=2000000"
7,6,2,0.3333333333333333,1,scalar,6,7,7,49,,,,0.42264973081037427,0.5,0.518559374353155,,"refused: search would require 5764801 center/codeword distance checks, exceeding max_operations=5000000"
7,6,2,0.3333333333333333,2,folded,3,49,49,49,,,,0.42264973081037427,0.6666666666666666,0.6748541290556571,,"refused: search would require 5764801 center/codeword distance checks, exceeding max_operations=5000000"
7,6,2,0.3333333333333333,2,interleaved,6,49,49,2401,,,,0.42264973081037427,0.5,0.5781073269532142,,"refused: received-word space has 13841287201 words, exceeding max_words=2000000"
7,6,3,0.5,1,scalar,6,7,7,343,,,,0.2928932188134524,0.3333333333333333,0.3595025043123107,,"refused: search would require 40353607 center/codeword distance checks, exceeding max_operations=5000000"
7,6,3,0.5,2,folded,3,49,49,343,,,,0.2928932188134524,0.3333333333333333,0.4912052826943987,,"refused: search would require 40353607 center/codeword distance checks, exceeding max_operations=5000000"
7,6,3,0.5,2,interleaved,6,49,49,117649,,,,0.2928932188134524,0.3333333333333333,0.411459670727456,,"refused: received-word space has 13841287201 words, exceeding max_words=2000000"
7,6,4,0.6666666666666666,1,scalar,6,7,7,2401,,,,0.18350341907227397,0.16666666666666666,0.23724015614078306,,"refused: search would require 282475249 center/codeword distance checks, exceeding max_operations=5000000"
7,6,4,0.6666666666666666,2,folded,3,49,49,2401,,,,0.18350341907227397,0.3333333333333333,0.3375036316505343,,"refused: search would require 282475249 center/codeword distance checks, exceeding max_operations=5000000"
7,6,4,0.6666666666666666,2,interleaved,6,,49,,,,,0.18350341907227397,,,,"refused: interleaved code has 5764801 codewords, exceeding max_codewords=200000"
7,6,5,0.8333333333333334,1,scalar,6,7,7,16807,,,,0.0871290708247231,0.16666666666666666,0.13801591814253217,,"refused: search would require 1977326743 center/codeword distance checks, exceeding max_operations=5000000"
7,6,5,0.8333333333333334,2,folded,3,49,49,16807,,,,0.0871290708247231,0.0,0.20431549501936425,,"refused: search would require 1977326743 center/codeword distance checks, exceeding max_operations=5000000"
7,6,5,0.8333333333333334,2,interleaved,6,,49,,,,,0.0871290708247231,,,,"refused: interleaved code has 282475249 codewords, exceeding max_codewords=200000"
